level_index,shot_index,bird_start_x,bird_start_y,target_original_idx,angle_deg,velocity,destroyed_original_indices
5,2,0.5170335530594526,0.34031848934137066,3,60.89136845215832,8.936056201448462,0|1|2|4|5|6|7|9
5,3,0.9555229353227938,0.05043501070224077,3,64.55385712006934,8.967102877336254,0|1|2|4|5|6|7|9
5,4,0.5845344561958506,0.2693010778425118,3,61.54661198072267,8.952352084226359,0|1|2|4|5|6|7|9
6,0,0.8857555088332014,0.4881586186065131,2,43.36729797562624,7.273110930406506,0|1|2|3|4|5|6|7|9
6,1,0.02899696387786288,0.06270826455652068,8,42.26508723625827,11.741778263629392,
6,2,0.07897466261198616,0.14788644381376503,8,42.14445137107971,11.702383674582709,
6,3,0.7602648061059267,0.45773702114241865,8,43.126893353925944,11.400742747120546,
6,4,0.09266113059890368,0.9689185650417089,8,39.584973497229385,11.47077316873631,
7,0,0.6461492697010222,0.7553440693760912,7,67.22144882029916,8.823963017956157,1|3|4|5|6|7|8|9
7,1,0.9934804825287925,0.11092515305728357,0,46.43740725272222,11.812922324093238,
7,2,0.31550621306381055,0.3646021892978125,2,36.648067291759354,12.323364469397582,
7,3,0.2994588092340291,0.30354588070435273,2,36.79330918803007,12.342979076400308,
7,4,0.13233264828289204,0.2960731235676469,2,36.449509959069296,12.397876535413848,
8,0,0.3912162508633019,0.3927446364784877,1,23.474839126474738,8.686156229404457,0|1|3|4|5|6|7|8|9
8,1,0.45180878347191056,0.4326123972182573,2,49.90577640505758,9.927532703063632,
8,2,0.8331918783497305,0.0423421164571014,2,52.98083349314948,9.960793750295194,
8,3,0.8923602945041809,0.3034878702657262,2,52.34302055767762,9.840270258556718,
8,4,0.8391236663464487,0.5606444864375041,2,51.167417010994726,9.75574398320051,
9,0,0.6545565104652131,0.3675588221791789,0,36.993211433786755,6.152539350153152,0|1|2|4|5|6|8
9,1,0.606584592021444,0.1307478880491042,9,66.34193690319366,9.533580630390144,1|2|4|5|6|8
9,2,0.004159513219716082,0.5168998782206984,3,33.787613579785805,13.211421809453977,1|2|4|5|6
9,3,0.506216264761625,0.09730503769236587,9,65.86058676415544,9.57012474329135,1|2|4|5|6|8
